Date,Close,High,Low,Open,Volume
2025-01-15,236.35987854003906,237.4429702030776,232.94171493841435,233.1503884256181,39832000
2025-01-16,226.81089782714844,236.4990004602556,226.58236221549976,235.8432019589194,71759100
2025-01-17,228.5199737548828,230.8153063545454,227.02949646555186,230.6463874145182,68488300
2025-01-21,221.22654724121094,222.9952455214703,217.98724913328002,222.5779137526142,98070400
2025-01-22,222.4090118408203,222.6971640978084,218.39465138442915,218.39465138442915,64126500
2025-01-23,222.2401123046875,225.58871322146769,220.88874557201237,223.3132578125695,60234800
2025-01-24,221.36569213867188,224.19760513427786,220.00439436057442,223.35299524803202,54697900
2025-01-27,228.40074157714844,230.67619691244207,222.55806572164707,222.59782027357136,94863400
2025-01-28,236.74737548828125,238.6651305613763,229.344675641239,229.384430187641,75707600
2025-01-29,237.8404083251953,238.33723404319062,232.52436707787834,232.63366934231402,45486100
2025-01-30,236.0816650390625,239.26134692510684,235.7040877651042,237.1548105184623,55658300
2025-01-31,234.5017547607422,245.62071750771995,231.95800933839706,245.62071750771995,100959800
2025-02-03,226.5624542236328,230.35820991583037,224.26712187534005,228.5298949466701,73063300
2025-02-04,231.32208251953125,231.64998934854387,225.21111642561868,225.80731341689966,45067300
2025-02-05,230.99417114257812,231.19289841511937,226.82083777153602,227.0791817096477,39620300
2025-02-06,231.73941040039062,232.31573010563136,228.96711414866223,229.8216550685821,29925300
2025-02-07,226.18490600585938,232.5144614947352,225.81724462416,231.12335539671392,39707200
2025-02-10,226.45346069335938,229.378010419489,226.00582893863492,228.36338248973718,33115600
2025-02-11,231.3973388671875,233.99362125199642,226.93094812871882,227.000572314181,53718400
2025-02-12,235.625,235.71453849328682,229.4675323792709,229.98480349517558,45243300
2025-02-13,240.26051330566406,241.06625350434595,234.33184765944378,235.66480095549997,53614100
2025-02-14,243.3143768310547,244.25938055012708,239.7233505557091,239.9819785190441,40896200
2025-02-18,243.18505859375,243.89131830963376,240.56887710589865,242.86673323889264,48822500
2025-02-19,243.5829620361328,244.716969605811,241.88195827091008,243.37407429304395,32204200
2025-02-20,244.53793334960938,245.48293716802547,243.006019001845,243.65261174603793,32316900
2025-02-21,244.25938415527344,247.38287960480025,243.93111682470231,244.6572756706751,53197400
2025-02-24,245.80123901367188,247.551982922016,243.1353173033831,243.64263125957103,51326400
2025-02-25,245.74156188964844,248.68601093773057,243.62276739789988,246.69652285022872,48013300
2025-02-26,239.09666442871094,243.6923767743236,237.87313357927937,243.04579925662603,44433600
2025-02-27,236.05274963378906,241.1856322165831,235.81400561415145,238.15166004001364,41153600
2025-02-28,240.5688934326172,240.8175794410065,228.9900734891547,235.70459571566596,56833400
2025-03-03,236.77890014648438,242.7473638198223,234.8689935924468,240.51913191748446,47184000
2025-03-04,234.68995666503906,238.80821160759587,233.4465266012979,236.46061504010896,53798100
2025-03-05,234.50096130371094,235.30670153327668,228.0251680036218,234.18263593082168,47227600
2025-03-06,234.09312438964844,236.60982567864426,231.93453157387603,233.207802772317,45170400
2025-03-07,237.81346130371094,240.10136041796665,233.5261018066448,233.87426828677374,46273600
2025-03-10,226.28436279296875,234.91874867921032,223.04150278970278,234.3019970725287,72071200
2025-03-11,219.67926025390625,224.65298022983382,216.30707871737093,222.63365113389432,76137400
2025-03-12,215.8395538330078,220.58448707211764,213.7804415985268,218.98294858814833,62547500
2025-03-13,208.57791137695312,215.70028194858565,207.3245394208188,214.81496040955514,61368300
2025-03-14,212.36788940429688,212.82546311709572,208.47843695256688,210.13965751241793,60107600
2025-03-17,212.87521362304688,214.0888025037831,208.8663965620962,212.18883784213668,48073400
2025-03-18,211.57211303710938,214.019174884069,210.3784232206469,213.0343879953175,42432400
2025-03-19,214.10870361328125,217.6101915579757,212.6265295918345,213.0940604852241,54385400
2025-03-20,212.97470092773438,216.3468825511506,211.10457731145533,212.86527847830126,48862900
2025-03-21,217.12277221679688,217.68976839110027,210.16950634984832,210.4480334492585,94127800
2025-03-24,219.56985473632812,220.31591279023903,217.43116105321957,219.83843988574125,44299500
2025-03-25,222.573974609375,222.92214108802088,218.92326587520165,219.6096416779903,34493600
2025-03-26,220.36563110351562,223.83729303324841,219.31120492080973,222.3352199198642,34466100
2025-03-27,222.67344665527344,223.80745418869535,219.40073045135125,220.22636977863218,37094800
2025-03-28,216.75473022460938,222.63367141455515,216.53588531144595,220.50491967808455,39818600
2025-03-31,220.9624786376953,224.4341253115235,215.09348022110552,215.86937928840504,65299300
2025-04-01,222.01693725585938,222.50435214869168,217.74947658321986,218.65469735360887,36412700
2025-04-02,222.7132568359375,224.006427206847,219.85834611462542,220.15677238154151,35905900
2025-04-03,202.1220245361328,206.39942653372108,200.19221885499383,204.45966369883956,103419000
2025-04-04,187.38987731933594,198.82943318150367,186.3553350717911,192.87091122900438,125910900
2025-04-07,180.50625610351562,193.12954493623218,173.70219548773406,176.26863687444822,160466300
2025-04-08,171.5137481689453,189.33955773730443,168.32062862424334,185.71869040589692,120859500
2025-04-09,197.80484008789062,199.55558397169528,170.9865365771085,171.04621878540135,184395900
2025-04-10,189.4191436767578,193.7562279640405,182.03814529024513,188.07624843340898,121880000
2025-04-11,197.1085205078125,198.49121408156802,185.0820690088969,185.12186726950821,87435900
2025-04-14,201.45555114746094,211.82078139531484,200.10269875392328,210.32866545443895,101352900
2025-04-15,201.07752990722656,202.44032418337582,198.74983284066025,200.7990028314966,51343900
2025-04-16,193.24891662597656,199.64511311117855,191.35889396287376,197.31741584829123,59732400
2025-04-17,195.94467163085938,197.78495412822454,193.39812938355274,196.16351652823,52164700
2025-04-21,192.14476013183594,192.78139570274652,188.8123615658979,192.25418258208256,46742500
2025-04-22,198.69017028808594,200.53043756485187,194.93998119085117,195.08918671811182,52976400
2025-04-23,203.52462768554688,206.9067512010516,201.7340854567431,204.9172632087338,52929200
2025-04-24,207.27481079101562,207.73239972806866,201.87335793866913,203.81310578126346,47311000
2025-04-25,208.18002319335938,208.6475540878433,205.1162098506388,205.28531450927932,38222300
2025-04-28,209.03550720214844,210.38835967290976,206.3696005213303,208.89624364686077,38743100
2025-04-29,210.0998992919922,211.12448445804597,207.27481462988695,207.59314001435672,36827600
2025-04-30,211.3831024169922,212.4574277707069,205.5837430092506,208.19992461631293,52286500
2025-05-01,212.1988067626953,213.43227966302132,207.80202473083082,207.98108655162656,57365700
2025-05-02,204.27069091796875,205.9020705063368,201.09745506032002,205.0067917796952,101010600
2025-05-05,197.8446502685547,203.0272736250085,197.1682315771274,202.03252954096354,69018500
2025-05-06,197.4666290283203,199.59538061408486,195.98447015970467,197.1682179665783,51216500
2025-05-07,195.218505859375,198.39174158064424,192.23427392267118,198.1231564563361,68536700
2025-05-08,196.45199584960938,198.99853803284546,193.65675249053749,196.68078271707188,50478900
2025-05-09,197.48654174804688,199.4859718922483,196.5017396407649,197.95407268173315,36453900
2025-05-12,209.95704650878906,210.435160708662,205.93301745006437,210.13634313336473,63775800
2025-05-13,212.08859252929688,212.55673652410627,208.17412935394688,209.59847136477597,51909300
2025-05-14,211.490966796875,213.09460539099953,209.7478820292828,211.5905625216416,49325800
2025-05-15,210.6144561767578,212.11849916658366,208.71199985896817,210.11643191755599,45029500
2025-05-16,210.42520141601562,211.73003772257164,208.94109887256835,211.52086084946143,54737900
2025-05-19,207.9550018310547,208.65223273202483,203.45285841572866,207.0884445111699,46140500
2025-05-20,206.04258728027344,207.64622592622177,204.2198167548668,206.84938410987283,42496600
2025-05-21,201.2914276123047,206.22186440009241,199.91689108628387,204.3592586621154,59211800
2025-05-22,200.56431579589844,201.94882252859867,198.91087172706415,199.91689038506837,46742400
2025-05-23,194.49838256835938,196.91877297523902,192.6955373289648,192.9046989896,78432900
2025-05-27,199.4188690185547,199.94677348688452,196.64984031499387,197.51641281084125,56288500
2025-05-28,199.62803649902344,201.9289060786693,199.11008702875665,199.79736291846774,45339700
2025-05-29,199.15988159179688,203.0046291598645,197.72556941325453,202.77554227533128,51396800
2025-05-30,200.05633544921875,201.1619498266407,196.00241099917397,198.5821728136608,70819900
2025-06-02,200.90298461914062,201.3312933884623,199.3292261245183,199.4885975362889,35423300
2025-06-03,202.46676635742188,202.9647905668523,200.16589694161215,200.55435521702816,46381600
2025-06-04,202.0185546875,205.42503857555045,201.30139858491114,202.10819540070028,43604000
2025-06-05,199.8372039794922,203.94091870107042,199.35908978394463,202.69585814733983,55126100
2025-06-06,203.11419677734375,204.8871617909174,201.2515910514923,202.19783403313102,46607700
2025-06-09,200.65396118164062,205.18598475848052,199.22961916524454,203.58234611432158,72862600
